name,address,phone,website,email,latitude,longitude
Montpellier,"Montpellier, France",N/A,http://www.montpellier.fr/,N/A,43.6108535,3.8761323
Domaine de Verchant,"1 Bd Philippe Lamour, 34170 Castelnau-le-Lez, France",04 67 07 26 00,https://www.domainedeverchant.com/fr/hotel-luxe-montpellier?utm_source=google&utm_medium=organic&utm_campaign=mybusiness,reservation@verchant.com,43.6250115,3.9216186
Hôtel des Arts Comédie- pour déplacements professionnels et séjours famille -,"6 Bd Victor Hugo, 34000 Montpellier, France",04 67 58 69 20,https://www.hotel-des-arts.fr/,N/A,43.60647399999999,3.877879999999998
Résidence Les Consuls de la Mer,"455 Av. du Professeur Etienne Antonelli, 34000 Montpellier, France",N/A,,N/A,43.6002606,3.895762000000001
Campanile Montpellier Est - Le Millénaire,"1083 Rue Henri Becquerel, 34000 Montpellier, France",04 67 64 85 85,https://montpellier-est-le-millenaire.campanile.com/fr-fr/?utm_content=partoo&utm_medium=seo-bgp&utm_source=google,N/A,43.609002,3.914894
Hotel & Spa Oceania Le Métropole Montpellier,"3 Rue du Clos René, 34000 Montpellier, France",04 67 12 32 32,https://www.oceaniahotels.com/oceania-le-metropole-montpellier,oceania.montpellier@oceaniahotels.com,43.6065949,3.880464
Hôtel des Arceaux Montpellier centre,"33-35 Bd des Arceaux, 34000 Montpellier, France",04 67 92 03 03,http://www.hoteldesarceaux.com/,N/A,43.611414,3.863829999999999
Hotel Campanile Montpellier Croix D'argent,"135 Rue Jugurtha, 34070 Montpellier, France",04 67 64 56 45,https://montpellier-ouest-croix-argent.campanile.com/,N/A,43.577825,3.873524000000001
Best Western Hotel Le Guilhem,"18 Rue Jean Jacques Rousseau, 34000 Montpellier, France",04 67 52 90 90,https://www.leguilhem.com/,N/A,43.61222220000001,3.873333299999999
Abbeliss Polygone Hotel,"16 Av. du Pont Juvénal, 34000 Montpellier, France",07 69 55 00 27,,N/A,43.6062279,3.8844883
Hotel le Saint Eloi,"27 Av. du Professeur Grasset, 34090 Montpellier, France",04 67 60 41 68,https://hotel-le-saint-eloi.francophilevoyages.top/,N/A,43.62396950000001,3.867236000000001
Hôtel ibis Montpellier Centre Polygone,"95 Pl. Vauban, 34000 Montpellier, France",04 67 64 06 64,https://all.accor.com/hotel/1391/index.fr.shtml,H1391@accor.com,43.60969829999999,3.8851507
Campanile Montpellier Sud,"Av. du Mas d'Argelliers, 34070 Montpellier, France",04 67 34 14 00,https://montpellier-sud.campanile.com/fr-fr/?utm_content=partoo&utm_medium=seo-bgp&utm_source=google,N/A,43.587164,3.891157
"Hôtel Première Classe Montpellier Saint Jean De Védas, La Peyrière","P.A DE, La Peyrière, 34430 Saint-Jean-de-Védas, France",04 67 69 98 40,https://montpellier-ouest-st-jean-de-vedas.premiereclasse.com/fr-fr/?utm_content=partoo&utm_medium=seo-bgp&utm_source=google,N/A,43.56711000000001,3.835306
Hôtel Mercure Montpellier Centre Comédie,"Languedoc Roussillon, 6 Rue de la Spirale, 34000 Montpellier, France",04 67 99 89 89,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=3043&merchantid=seo-maps-FR-3043&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,h3043@accor.com,43.6091968,3.8853843
Résidence Tourisme Goélia Sun City,"72 Av. du Pont Juvénal, 34000 Montpellier, France",04 67 13 58 58,https://www.goelia.com/fr/residence-vacances/montpellier/goelia-sun-city.86.4.php,N/A,43.60532389999999,3.8903204
Hôtel De La Comédie,"1 Bis Rue Baudin, 34000 Montpellier, France",04 67 58 43 64,http://www.hotel-montpellier-comedie.com/,info@hoteldelacomedie.fr,43.60869390000001,3.8810665
Hotel Acapulco,"445 Rue Auguste Broussonnet, 34090 Montpellier, France",04 67 54 12 21,,N/A,43.616787,3.869052600000001
