name,address,phone,website,email,latitude,longitude
Montpellier,"Montpellier, France",N/A,http://www.montpellier.fr/,N/A,43.6108535,3.8761323
Hôtel des Arts Comédie- pour déplacements professionnels et séjours famille -,"6 Bd Victor Hugo, 34000 Montpellier, France",04 67 58 69 20,https://www.hotel-des-arts.fr/,N/A,43.60647399999999,3.877879999999998
Résidence Les Consuls de la Mer,"455 Av. du Professeur Etienne Antonelli, 34000 Montpellier, France",N/A,,N/A,43.6002606,3.895762000000001
Hotel & Spa Oceania Le Métropole Montpellier,"3 Rue du Clos René, 34000 Montpellier, France",04 67 12 32 32,https://www.oceaniahotels.com/oceania-le-metropole-montpellier,oceania.montpellier@oceaniahotels.com,43.6065949,3.880464
Campanile Montpellier Est - Le Millénaire,"1083 Rue Henri Becquerel, 34000 Montpellier, France",04 67 64 85 85,https://montpellier-est-le-millenaire.campanile.com/fr-fr/?utm_content=partoo&utm_medium=seo-bgp&utm_source=google,N/A,43.609002,3.914894
Hôtel des Arceaux Montpellier centre,"33-35 Bd des Arceaux, 34000 Montpellier, France",04 67 92 03 03,http://www.hoteldesarceaux.com/,N/A,43.611414,3.863829999999999
Domaine de Verchant,"1 Bd Philippe Lamour, 34170 Castelnau-le-Lez, France",04 67 07 26 00,https://www.domainedeverchant.com/fr/hotel-luxe-montpellier?utm_source=google&utm_medium=organic&utm_campaign=mybusiness,reservation@verchant.com,43.6250115,3.9216186
Best Western Hotel Le Guilhem,"18 Rue Jean Jacques Rousseau, 34000 Montpellier, France",04 67 52 90 90,https://www.leguilhem.com/,N/A,43.61222220000001,3.873333299999999
Abbeliss Polygone Hotel,"16 Av. du Pont Juvénal, 34000 Montpellier, France",07 69 55 00 27,,N/A,43.6062279,3.8844883
Hotel le Saint Eloi,"27 Av. du Professeur Grasset, 34090 Montpellier, France",04 67 60 41 68,https://hotel-le-saint-eloi.francophilevoyages.top/,N/A,43.62396950000001,3.867236000000001
Hôtel ibis Montpellier Centre Polygone,"95 Pl. Vauban, 34000 Montpellier, France",04 67 64 06 64,https://all.accor.com/hotel/1391/index.fr.shtml,H1391@accor.com,43.60969829999999,3.8851507
Hotel Campanile Montpellier Croix D'argent,"135 Rue Jugurtha, 34070 Montpellier, France",04 67 64 56 45,https://montpellier-ouest-croix-argent.campanile.com/,N/A,43.577825,3.873524000000001
Campanile Montpellier Sud,"Av. du Mas d'Argelliers, 34070 Montpellier, France",04 67 34 14 00,https://montpellier-sud.campanile.com/fr-fr/?utm_content=partoo&utm_medium=seo-bgp&utm_source=google,N/A,43.587164,3.891157
Hôtel Mercure Montpellier Centre Comédie,"Languedoc Roussillon, 6 Rue de la Spirale, 34000 Montpellier, France",04 67 99 89 89,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=3043&merchantid=seo-maps-FR-3043&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,h3043@accor.com,43.6091968,3.8853843
Résidence Tourisme Goélia Sun City,"72 Av. du Pont Juvénal, 34000 Montpellier, France",04 67 13 58 58,https://www.goelia.com/fr/residence-vacances/montpellier/goelia-sun-city.86.4.php,N/A,43.60532389999999,3.8903204
Hôtel De La Comédie,"1 Bis Rue Baudin, 34000 Montpellier, France",04 67 58 43 64,http://www.hotel-montpellier-comedie.com/,info@hoteldelacomedie.fr,43.60869390000001,3.8810665
Hotel Acapulco,"445 Rue Auguste Broussonnet, 34090 Montpellier, France",04 67 54 12 21,,N/A,43.616787,3.869052600000001
Royal Hôtel,"8 Rue de Maguelone, 34000 Montpellier, France",04 67 92 13 36,https://www.royalhotelmontpellier.com/,N/A,43.6067689,3.879747900000001
Hôtel Mercure Montpellier Centre Antigone,"285, Bld De L'Aéroport International, 34000 Montpellier, France",04 67 20 63 63,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=1544&merchantid=seo-maps-FR-1544&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,h1544@accor.com,43.6090428,3.8939648
Lattes,"34970 Lattes, France",N/A,http://www.ville-lattes.fr/,video.web@ville-lattes.fr,43.567296,3.896473
Citadines Apart'hotel Antigone Montpellier,"588 Bd d'Antigone, 34000 Montpellier, France",04 99 52 37 50,https://www.discoverasr.com/citadines/france/citadines-antigone-montpellier?utm_source=google&utm_medium=maps&utm_campaign=hq-google-maps-alwayson-20240531-all-all-eu-fr-citadinesantigonemontpellier-yext-gbp,antigone@citadines.com,43.6088775,3.889908899999999
Novotel Montpellier,"125 Bis Av. de Palavas, 34070 Montpellier, France",04 99 52 34 34,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=0450&merchantid=seo-maps-FR-0450&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,H0450@accor.com,43.5901198,3.8924983
Halt Hotel 100%Independant,"17 Chem. de Saint-Hubert, 34970 Lattes, France",04 67 34 09 65,http://www.halthotel.fr/,reservation@halthotel.fr,43.5870639,3.895902499999999
Grand Hôtel du Midi,"22 Bd Victor Hugo, 34000 Montpellier, France",04 67 92 69 61,http://www.grandhoteldumidimontpellier.com/,N/A,43.6074781,3.8789739
Appart'City Confort Montpellier St Roch - Appart Hôtel,"29 Bd Berthelot, 34000 Montpellier, France",04 67 34 27 00,https://www.appartcity.com/fr/destinations/languedoc-roussillon/montpellier/montpellier-gare-st-roch.html?utm_source=google&utm_medium=mybusiness&utm_campaign=montpellier-gare-st-roch,N/A,43.5998882,3.872066700000001
Hôtel d ‘Aragon,"10 Rue Baudin, 34000 Montpellier, France",04 67 10 70 00,https://www.hotel-aragon.fr/,N/A,43.6082952,3.8818707
ibis Montpellier Centre Comédie,"Immeuble Le Triangle, All. Jules Milhau, 34000 Montpellier, France",04 99 13 29 99,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=0592&merchantid=seo-maps-FR-0592&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,H0592@accor.com,43.6090929,3.882938500000001
Résidence étudiante Gsa Résid Montpellier - Les Olympiades,"123 Rue Nivôse, 34000 Montpellier, France",04 67 15 00 05,https://gsaresid.com/annonces/residence-les-olympiades/,N/A,43.6037597,3.898493799999999
Appart'City Confort Montpellier Ovalie,"105 Rue Gilles Martinet, 34070 Montpellier, France",04 67 99 45 30,https://www.appartcity.com/fr/destinations/languedoc-roussillon/montpellier/montpellier-ovalie.html?utm_source=google&utm_medium=mybusiness&utm_campaign=montpellier-ovalie,N/A,43.5908416,3.8562548
Pullman La Pléiade Montpellier Centre,"1 Rue des Pertuisanes, 34000 Montpellier, France",04 67 99 72 72,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=1294&merchantid=seo-maps-FR-1294&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,H1294@accor.com,43.6078394,3.8854502
"Crowne Plaza Montpellier - Corum, an IHG Hotel","190 Rue d'Argencourt, 34000 Montpellier, France",04 67 72 22 22,https://www.ihg.com/crowneplaza/hotels/gb/en/montpellier/mopda/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-FR-_-MOPDA,contact@cpmontpellier.com,43.6128138,3.884035800000001
Hôtel Première Classe Montpellier Sud Lattes,"Chem. de Saint-Hubert, 34970 Lattes, France",0 892 70 73 02,https://montpellier-sud-lattes.premiereclasse.com/fr-fr/,N/A,43.584424,3.897145
"Holiday Inn Express Montpellier - Odysseum, an IHG Hotel","60 Av. Nina Simone, 34000 Montpellier, France",04 99 51 61 00,https://www.ihg.com/holidayinnexpress/hotels/gb/en/montpellier/moppl/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-FR-_-MOPPL,contact@hiemontpellier.com,43.60146509999999,3.915509100000001
HOTEL ULYSSE - Montpellier Centre Corum,"338 Av. de Saint-Maur, 34000 Montpellier, France",04 67 02 02 30,https://www.hotel-ulysse.fr/,resa@hotel-ulysse.fr,43.6150204,3.8874203
Hotel Kalliste Montpellier,"14 Rue Boussairolles, 34000 Montpellier, France",04 67 02 76 59,http://www.hotelkalliste.com/,hotelkalliste@orange.fr,43.6077491,3.8811359
Hotel Colisee - Verdun Gare Saint Roch,"33 Rue de Verdun, 34000 Montpellier, France",04 67 58 42 63,http://hotelcolisee.com/,cDb8KnDKPm88Z8tToO@ihSPK.nDh,43.6060697,3.881834400000001
Hotel ibis Montpellier Sud,"164 Av. de Palavas, 34070 Montpellier, France",04 67 58 82 30,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=0624&merchantid=seo-maps-FR-0624&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,H0624@accor.com,43.5891812,3.891794599999999
Hotel Hospitalet Saint Charles Montpellier,"241 Rue Auguste Broussonnet, 34090 Montpellier, France",04 67 45 46 47,https://hotel-hospitalet-saint-charles-montpellier.francophilevoyages.top/,N/A,43.6160882,3.871190500000001
ibis Styles Montpellier Centre Comédie,"6 Rue Baudin, Carpark :17Ter, Rue Alfred Bruyas, 34000 Montpellier, France",04 34 35 86 86,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=9120&merchantid=seo-maps-FR-9120&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,H9120@accor.com,43.60837770000001,3.881396999999999
Courtyard Montpellier,"105 Pl. Georges Frêche, 34000 Montpellier, France",04 99 54 74 00,https://www.marriott.com/en-us/hotels/mplcy-courtyard-montpellier/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,N/A,43.59974249999999,3.8963653
Heliotel,"Rond point Agropolis, 34980 Montferrier-sur-Lez, France",04 67 41 54 00,http://www.heliotel.com/,heliotel@heliotel.com,43.6515865,3.8672104
Hotel De Paris,"15 Rue Aristide Ollivier, 34000 Montpellier, France",04 67 58 37 11,http://www.hotel-paris-montpellier.fr/,N/A,43.6067564,3.8819204
Villa Bellagio Parc Euromédecine (by Popinns),"1149 Rue de la Croix Verte, 34090 Montpellier, France",04 67 41 55 00,https://vbmontpellier.popinns.com/?utm_source=GMB+FICHE+&utm_medium=GMB+FICHE+-+MTP&utm_campaign=GMB+FICHE+-+MTP+-+ORGANIQUE,N/A,43.64223639999999,3.8445548
Kyriad Montpellier Sud,"25 Rue du Puech Radier, 34970 Lattes, France",04 67 92 32 41,https://montpellier-sud.kyriad.com/,N/A,43.578646,3.880286
Le Mas du Cheval,"Av. de l'Agau, 34970 Lattes, France",04 11 89 41 63,https://www.masducheval.com/,N/A,43.5805541,3.9098079
L'Oliveraie,"17 Chem. du Floréal, 34970 Lattes, France",07 67 16 32 42,http://www.grandbleu.fr/france/languedoc-roussillon/herault/lattes-montpellier/residence-vacances-l-oliveraie-69.html,N/A,43.5880968,3.899668799999999
Les Terrasses de Castelnau,"12 Rue Emile Combes, 34170 Castelnau-le-Lez, France",06 65 31 64 90,http://www.les-terrasses-de-castelnau.com/,N/A,43.6337499,3.894487000000001
Hotel Majestic,"4 Rue du Cheval Blanc, 34000 Montpellier, France",04 67 66 26 85,https://hotel-majestic.francophilevoyages.top/,N/A,43.60739899999999,3.8770916
"Hôtel-Restaurant The Originals City, Le Mas de Grille, Montpellier Sud","93 Rue Théophraste Renaudot, 34430 Saint-Jean-de-Védas, France",04 67 47 07 45,https://www.theoriginalshotels.com/hotels/montpellier-sud-le-mas-de-grille,reservation@theoriginalshotels.com,43.57275689999999,3.8523912
Appart'City Confort Montpellier Millénaire - Appart Hôtel,"418 Rue du Mas de Verchant, 34000 Montpellier, France",04 67 85 68 90,https://www.appartcity.com/fr/destinations/languedoc-roussillon/montpellier/montpellier-millenaire.html?utm_source=google&utm_medium=mybusiness&utm_campaign=montpellier-millenaire,N/A,43.6193168,3.9129682
Hotel du Parc-Montpellier,"8 Rue Achille Bege, 34090 Montpellier, France",04 67 41 16 49,http://www.hotelduparc-montpellier.com/,N/A,43.6181465,3.874983000000001
