name,address,phone,website,email,latitude,longitude
Hotel & Spa Oceania Le Métropole Montpellier,"3 Rue du Clos René, 34000 Montpellier, France",04 67 12 32 32,https://www.oceaniahotels.com/oceania-le-metropole-montpellier,oceania.montpellier@oceaniahotels.com,43.6065949,3.880464
Domaine de Verchant,"1 Bd Philippe Lamour, 34170 Castelnau-le-Lez, France",04 67 07 26 00,https://www.domainedeverchant.com/fr/hotel-luxe-montpellier?utm_source=google&utm_medium=organic&utm_campaign=mybusiness,reservation@verchant.com,43.6250115,3.9216186
Hotel Campanile Montpellier Croix D'argent,"135 Rue Jugurtha, 34070 Montpellier, France",04 67 64 56 45,https://montpellier-ouest-croix-argent.campanile.com/,N/A,43.577825,3.873524000000001
Campanile Montpellier Sud,"Av. du Mas d'Argelliers, 34070 Montpellier, France",04 67 34 14 00,https://montpellier-sud.campanile.com/fr-fr/?utm_content=partoo&utm_medium=seo-bgp&utm_source=google,N/A,43.587164,3.891157
Heliotel,"Rond point Agropolis, 34980 Montferrier-sur-Lez, France",04 67 41 54 00,http://www.heliotel.com/,heliotel@heliotel.com,43.6515865,3.8672104
Le Mas du Cheval,"Av. de l'Agau, 34970 Lattes, France",04 11 89 41 63,https://www.masducheval.com/,N/A,43.5805541,3.9098079
Brit Hotel Montpellier Euromédecine,"Parc Euromédecine, 861 Rue de la Croix Verte, 34000 Montpellier, France",04 67 61 01 30,https://hotel-montpellier-euromedecine.brithotel.fr/,montpellier-nord@brithotel.fr,43.6444714,3.8424536
Hotel Le Mejean,"1439 Av. des Platanes, 34970 Lattes, France",04 67 99 79 00,https://hotel-lemejean.fr/,N/A,43.5845614,3.923284099999999
Hôtel Richer de Belleval,"Pl. de la Canourgue, 34000 Montpellier, France",04 99 66 18 18,https://www.hotel-richerdebelleval.com/,contact@hotel-richerdebelleval.com,43.6118049,3.8751091
Al-Manara Restaurant,"4 Rue du Clos René, 34000 Montpellier, France",04 67 92 91 12,http://www.almanara.fr/,almanara@orange.fr,43.60689599999999,3.880425999999999
Shopping Centre Odysseum,"2 Pl. de Lisbonne, 34000 Montpellier, France",04 67 13 50 50,https://odysseum.klepierre.fr/?utm_campaign=presence_management&utm_medium=organic&utm_source=partoo,Exemple@gmail.com,43.6036013,3.920784199999999
MaMaison,"27 Rue de l'Aiguillerie, 34000 Montpellier, France",07 67 36 71 27,https://bookings.zenchef.com/results?rid=360088&pid=1001,dcp@buffalo-grill.fr,43.61127389999999,3.8784277
LE PALAIS INDIEN - RESTAURANT INDIEN à MONTPELLIER,"4 Rue Cité Benoît, 34000 Montpellier, France",04 67 64 42 69,http://lepalaisindien.fr/,N/A,43.60650529999999,3.8835615
Le Valentino,"10 Rue Alexandre Cabanel, 34000 Montpellier, France",04 67 60 48 33,,N/A,43.6083453,3.8737563
Country club form,"160 Av. de Palavas, 34070 Montpellier, France",07 67 52 09 89,http://www.countryclubforme.com/,countryclubforme@free.fr,43.5915197,3.8894907
Carrefour City,"6 Pl. Alexandre Laissac, 34000 Montpellier, France",04 67 92 60 46,https://www.carrefour.fr/magasin/city-montpellier-laissac,N/A,43.605769,3.8760656
Le Cena,"2 Pl. Pétrarque, 34000 Montpellier, France",04 67 66 12 21,https://www.cena-montpellier.fr/,N/A,43.61067199999999,3.8784817
Sushi-Bar,"20 Rue Bernard Délicieux, 34000 Montpellier, France",04 99 77 06 06,http://www.le-sushi-bar.com/,N/A,43.61569799999999,3.881882400000001
La Réserve Rimbaud,"820 Av. de Saint-Maur, 34000 Montpellier, France",04 67 72 52 53,http://reserve-rimbaud.com/accueil,ande@mikado-themes.com,43.616726,3.892808400000001
Jeff de Bruges,"1 Rue des Pertuisanes, 34000 Montpellier, France",09 62 09 85 51,https://www.jeff-de-bruges.com/,nom@fournisseur.com,43.6085551,3.884869
Le Grillardin,"3 Pl. de la Chapelle Neuve, 34000 Montpellier, France",04 67 66 24 33,https://le-grillardin-montpellier.fr/fr,nom@domain.com,43.6132335,3.878816899999999
La Chistera,"2Bis Rue d'Obilion, 34000 Montpellier, France",04 67 55 39 51,https://www.la-chistera.com/,N/A,43.6070159,3.878965099999999
Le Petit Jardin Montpellier,"20 Rue Jean Jacques Rousseau, 34000 Montpellier, France",04 67 60 78 78,http://www.petit-jardin.com/,contact@petit-jardin.com,43.6122,3.8733694
