name,address,phone,website,email,latitude,longitude
Centre Commercial Le Polygone,"1 Rue des Pertuisanes, 34000 Montpellier, France",04 28 70 21 00,http://www.polygone.com/,contact@polygone.com,43.6084583,3.884773500000001
Shopping Centre Odysseum,"2 Pl. de Lisbonne, 34000 Montpellier, France",04 67 13 50 50,https://odysseum.klepierre.fr/?utm_campaign=presence_management&utm_medium=organic&utm_source=partoo,Exemple@gmail.com,43.6036013,3.920784199999999
Centre Commercial Grand Sud,"Av. Georges Frêche, 34970 Lattes, France",04 67 64 11 11,https://grand-sud.klepierre.fr/?utm_campaign=presence_management&utm_medium=organic&utm_source=partoo,Exemple@gmail.com,43.58071150000001,3.929938
La Galerie,"400 Av. Claude Baillet, 30900 Nîmes, France",04 66 70 95 50,https://www.la-galerie.com/cap-costieres,sav@primprim.fr,43.812531,4.362006
Le Centaure,"Av. Georges Frêche, 34970 Lattes, France",N/A,,N/A,43.5863953,3.916194900000001
Leonidas - Saint Jean de Vedas,"Centre commercial Carrefour, Les Arcades, Rte de Sète, 34430 Saint-Jean-de-Védas, France",04 67 73 60 39,https://leonidasstjeandevedas.com/,N/A,43.5721546,3.847136
Centre Commercial Carrefour Les Arcades - Saint Jean de Védas,"Allée de la Condamine, 34430 Saint-Jean-de-Védas, France",04 67 07 63 00,https://www.centre-commercial.fr/carrefour-st-jean/?utm_medium=gmb&utm_source=opm,N/A,43.5720385,3.8469144
Centre commercial Trifontaine,"Rte de Ganges, 34980 Saint-Clément-de-Rivière, France",04 67 52 27 14,https://www.cc-trifontaine.com/,N/A,43.64960749999999,3.8418457
GALTIE RAPHAEL,"Pl. du Forum, 34170 Saint-Gély-du-Fesc, France",04 67 58 09 36,,N/A,43.64489100000001,3.924180200000001
Paysans du Coin,"1870 Bd de la Liberté, 34830 Clapiers, France",04 67 86 49 69,https://www.paysansducoin.fr/,paysansducoin34@gmail.com,43.6594717,3.9002722
Centre commercial Bocaud,"All. du Clos des Pins, 34830 Jacou, France",04 67 59 44 44,http://espace-bocaud.fr/,N/A,43.6604404,3.9043519
Centre Commercial Plein Sud,"Av. Georges Frêche, 34470 Pérols, France",04 67 50 43 00,https://www.auchan.fr/magasins/hypermarche/auchan-hypermarche-montpellier-perols/s-64,N/A,43.5722837,3.9416886
Pharmasud Médical,"100 Rue de la Sarriette, 34130 Saint-Aunès, France",07 49 43 04 06,,N/A,43.64806249999999,3.9709746
Opticien Villeneuve-lès-Maguelone - Visiopolis,"Centre médical les salins Ophtalmologiste, 3 All. du Collège, 34750 Villeneuve-lès-Maguelone, France",04 67 81 86 69,http://www.visiopolis.fr/,intl-tel-input-flags@2x.png,43.53429250000001,3.8529937
HORTUS CONCEPT PEPINIERE,"1100 ROUTE DE SAINT MATHIEU DE TREVIERS, 34820 Guzargues, France",04 99 58 49 57,http://www.hortus-concept.com/fr/pepiniere,N/A,43.739639,3.908957000000001
Centre commercial Balaruc,"Rte de Sète, 34540 Balaruc-le-Vieux, France",04 67 18 61 15,https://www.cc-balaruc.fr/,N/A,43.46263599999999,3.691855
Saveurs d'Oc,"22 Av. du Mont Aigoual, 34190 Ganges, France",04 67 17 31 62,,N/A,43.9322775,3.7102544
Blue Sky Negoces,"119 All. de Ptolémais, 34280 La Grande-Motte, France",06 69 90 06 94,https://www.blueskynegoces.com/contact,core-js-bundle@3.2.1,43.562994,4.0967696
Centre Commercial Nîmes Etoile,"116 Rue André Dupont, 30900 Nîmes, France",N/A,http://nimes-etoile.fr/,N/A,43.8179938,4.343141
niza,"34000 Montpellier, France",N/A,,N/A,43.610769,3.876716
Galerie De La Comedie,"34000 Montpellier, France",N/A,,N/A,43.6091851,3.8791621
Rue de l'Université,"Rue de l'Université, 34000 Montpellier, France",N/A,,N/A,43.6132309,3.877020400000001
